Question,Option,IsCorrect,Explanation
What is the number of basis functions in a spline model of degree 𝑑 with 𝑙 knots?,It depends only on the number of knots,FALSE, The basis count depends on both the degree and the number of knots not just the knots
Which problem does spline regression aim to solve in traditional polynomial regression?,Excessive oscillation from high-degree polynomials,TRUE, Spline regression reduces oscillation by fitting low-degree polynomials in separate intervals
Which problem does spline regression aim to solve in traditional polynomial regression?,Inability to model linear trends,FALSE, Both spline and polynomial regression can model linear trends easily
Which problem does spline regression aim to solve in traditional polynomial regression?,Over-regularization due to penalty terms,FALSE, Spline regression is not introduced to counter regularization but to control flexibility
Which problem does spline regression aim to solve in traditional polynomial regression?,Lack of interpretability of model coefficients,FALSE, Interpretability is not the main issue addressed by spline regression it mainly improves stability and local adaptability
Why are cubic splines commonly used in practice?,They offer a good tradeoff between flexibility and smoothness,TRUE, Cubic splines are flexible enough to model complex trends while ensuring continuity up to the second derivative
Why are cubic splines commonly used in practice?,They always fit the data perfectly,FALSE, The goal of cubic splines is generalization not perfect interpolation
Why are cubic splines commonly used in practice?,They eliminate the need for knots,FALSE, Cubic splines still require knots to define where piecewise polynomials change
Why are cubic splines commonly used in practice?,They require fewer computations than linear models,FALSE, Cubic splines are more computationally involved than linear models due to the added basis functions and constraints
What determines the flexibility of a spline regression model?,The number and placement of knots,TRUE, More knots and strategic placement increase the model’s ability to adapt locally to variations in the data
What determines the flexibility of a spline regression model?,The residual sum of squares,FALSE, The RSS measures fit quality but does not directly control the model’s flexibility
What determines the flexibility of a spline regression model?,The intercept value,FALSE, The intercept shifts the model vertically but has no impact on how flexible the curve is
What determines the flexibility of a spline regression model?,The use of cross-validation,FALSE, Cross-validation evaluates performance but doesn’t define the model’s flexibility itself
What kind of model is still being solved when using polynomial or spline regression?,A linear model in the parameters,TRUE, Despite nonlinear transformations of the input both methods result in a linear combination of basis functions with respect to the coefficients
What kind of model is still being solved when using polynomial or spline regression?,A purely nonlinear model,FALSE, The model may be nonlinear in input features but remains linear in its parameters
What kind of model is still being solved when using polynomial or spline regression?,A deep neural network,FALSE, Polynomial and spline regression are classic statistical models not neural architectures
What kind of model is still being solved when using polynomial or spline regression?,A classification tree,FALSE, These regression techniques are used for continuous outcomes not classification or tree-based models
How does the Akaike Information Criterion (AIC) balance model selection?,By penalizing model complexity while rewarding goodness of fit,TRUE, AIC combines a fit term based on residual error and a penalty term for the number of parameters to avoid overfitting
How does the Akaike Information Criterion (AIC) balance model selection?,By minimizing training error only,FALSE, AIC considers both fit and complexity not just training error
How does the Akaike Information Criterion (AIC) balance model selection?,By maximizing the number of parameters,FALSE, AIC penalizes models with too many parameters to discourage overfitting
How does the Akaike Information Criterion (AIC) balance model selection?,By discarding residuals entirely,FALSE, Residuals are central to AIC calculation as they quantify model error
What role do cross-validation and AIC play in spline regression?,They help choose the number and position of knots,TRUE, Both methods are used to assess model performance and guide the selection of knot count and placement for optimal generalization
What role do cross-validation and AIC play in spline regression?,They fit the model directly,FALSE, Fitting is done using least squares or penalized approaches not by AIC or cross-validation
What role do cross-validation and AIC play in spline regression?,They remove the need for a design matrix,FALSE, The design matrix is still required to express the model regardless of how it's evaluated
What role do cross-validation and AIC play in spline regression?,They are used only in classification tasks,FALSE, Both are general model selection tools and are commonly used in regression contexts too
